Rozmiar;Chaining;Linear;Cuckoo
1;1.5915e-312;0;0
501;0;0;0
1001;0;0;0
1501;0;0;0
2001;0;0;0
2501;0;0;0
3001;0;0;0
3501;0;0;0
4001;0;0;0
4501;0;0;0
5001;0;0;0
5501;0;0;0
6001;0;0;0
6501;0;0;0
7001;0;0;0
7501;0;0;0
8001;0;0;0
8501;0;0;0
9001;0;0;0
9501;0;0;0
10001;0;0;0
10501;0;0;0
11001;0;0;0
11501;0;0;0
12001;0;0;0
12501;0;0;0
13001;0;0;0
13501;0;0;0
14001;0;0;0
14501;0;0;0
15001;0;0;0
15501;0;0;0
16001;0;0;0
16501;0;0;0
17001;0;0;0
17501;0;0;0
18001;0;0;0
18501;0;0;0
19001;0;0;0
19501;0;0;0
20001;0;0;0
20501;0;0;0
21001;0;0;0
21501;0;0;0
22001;0;0;0
22501;0;0;0
23001;0;0;0
23501;0;0;0
24001;0;0;0
24501;0;0;0
25001;0;0;0
25501;0;0;0
26001;0;0;0
26501;0;0;0
27001;0;0;0
27501;0;0;0
28001;0;0;0
28501;0;0;0
29001;0;0;0
29501;0;0;0
30001;0;0;0
30501;0;0;0
31001;0;0;0
31501;0;0;0
32001;0;0;0
32501;0;0;0
33001;0;0;0
33501;0;0;0
34001;0;0;0
34501;0;0;0
35001;0;0;0
35501;0;0;0
36001;0;0;0
36501;0;0;0
37001;0;0;0
37501;0;0;0
38001;0;0;0
38501;0;0;0
39001;0;0;0
39501;0;0;0
40001;0;0;0
40501;0;0;0
41001;0;0;0
41501;0;0;0
42001;0;0;0
42501;0;0;0
43001;0;0;0
43501;0;0;0
44001;0;0;0
44501;0;0;0
45001;0;0;0
45501;0;0;0
46001;0;0;0
46501;0;0;0
47001;0;0;0
47501;0;0;0
48001;0;0;0
48501;0;0;0
49001;0;0;0
49501;0;0;0
50001;0;0;0
50501;0;0;0
51001;0;0;0
51501;0;0;0
52001;0;0;0
52501;0;0;0
53001;0;0;0
53501;0;0;0
54001;0;0;0
54501;0;0;0
55001;0;0;0
55501;0;0;0
56001;0;0;0
56501;0;0;0
57001;0;0;0
57501;0;0;0
58001;0;0;0
58501;0;0;0
59001;0;0;0
59501;0;0;0
60001;0;0;0
60501;0;0;0
61001;0;0;0
61501;0;0;0
62001;0;0;0
62501;0;0;0
63001;0;0;0
63501;0;0;0
64001;0;0;0
64501;0;0;0
65001;0;0;0
65501;0;0;4.94066e-324
